Parameter,Value,Unit
Mean STOIIP/GIIP,20542602.08,m³ std
Median STOIIP/GIIP,20485993.87,m³ std
Std Dev,205539.05,m³ std
Min,20326913.53,m³ std
Max,20942401.06,m³ std
Coefficient of Variation,0.0100,
Count,6,points
,,
EXPANSION TERMS FOR ALL PRESSURE POINTS,,
Point,Pressure (kgf/cm²),Eo,Eg,Efw,Et,F (m³)
1,234.12,N/A,N/A,N/A,N/A,N/A
2,221.47,0.014560,0.071902,0.001450,0.044771,923286.11
3,210.92,0.028700,0.129424,0.002659,0.083128,1696620.77
4,200.37,0.046950,0.201326,0.003867,0.131348,2750741.66
5,189.83,0.067730,0.287609,0.005076,0.187850,3830626.27
6,179.28,0.093650,0.373892,0.006285,0.249491,5071387.73
7,168.74,0.120700,0.474555,0.007493,0.318015,6539143.90
